10_002_C_snippet
 risk of interval [0,4]: 0.015125620178878307
 risk of interval [5,9]: 0.018149279057979584
 risk of interval [10,14]: 0.11052786558866501
 risk of interval [15,19]: 0.7552723288536072
 risk of interval [20,24]: 0.9639977812767029
 risk of interval [25,29]: 0.9742944240570068
 risk of interval [30,34]: 0.8796765208244324
 risk of interval [35,39]: 0.9698857069015503
 risk of interval [40,44]: 0.9692034721374512
 risk of interval [45,49]: 0.9701847434043884
 risk of interval [50,54]: 0.9707649350166321
 risk of interval [55,59]: 0.9737566709518433
 risk of interval [60,64]: 0.9756265878677368
 risk of interval [65,69]: 0.9746276140213013
 risk of interval [70,74]: 0.9743446111679077
10_003_C_snippet
 risk of interval [0,4]: 0.02437451109290123
 risk of interval [5,9]: 0.27531060576438904
 risk of interval [10,14]: 0.7112785577774048
 risk of interval [15,19]: 0.44794341921806335
 risk of interval [20,24]: 0.21142244338989258
 risk of interval [25,29]: 0.6121304035186768
 risk of interval [30,34]: 0.05501297116279602
 risk of interval [35,39]: 0.2466350495815277
 risk of interval [40,44]: 0.662507951259613
 risk of interval [45,49]: 0.27178794145584106
 risk of interval [50,54]: 0.5502195954322815
 risk of interval [55,59]: 0.2188737541437149
 risk of interval [60,64]: 0.027052028104662895
 risk of interval [65,69]: 0.02738857828080654
 risk of interval [70,74]: 0.01739993505179882
10_004_C_snippet
 risk of interval [0,4]: 0.6308719515800476
 risk of interval [5,9]: 0.8004473447799683
 risk of interval [10,14]: 0.6852494478225708
 risk of interval [15,19]: 0.9301607012748718
 risk of interval [20,24]: 0.9557176828384399
 risk of interval [25,29]: 0.9631097912788391
 risk of interval [30,34]: 0.7778754830360413
 risk of interval [35,39]: 0.8134852647781372
 risk of interval [40,44]: 0.9429455995559692
 risk of interval [45,49]: 0.477370023727417
 risk of interval [50,54]: 0.0952058732509613
 risk of interval [55,59]: 0.30006223917007446
 risk of interval [60,64]: 0.6363969445228577
 risk of interval [65,69]: 0.41154950857162476
 risk of interval [70,74]: 0.4106552004814148
10_005_C_snippet
 risk of interval [0,4]: 0.018063664436340332
 risk of interval [5,9]: 0.16328200697898865
 risk of interval [10,14]: 0.745049774646759
 risk of interval [15,19]: 0.8978750109672546
 risk of interval [20,24]: 0.9709439277648926
 risk of interval [25,29]: 0.9160915613174438
 risk of interval [30,34]: 0.9060457348823547
 risk of interval [35,39]: 0.830998420715332
 risk of interval [40,44]: 0.879768431186676
 risk of interval [45,49]: 0.7608319520950317
 risk of interval [50,54]: 0.9614614844322205
 risk of interval [55,59]: 0.971350371837616
 risk of interval [60,64]: 0.6316828727722168
 risk of interval [65,69]: 0.905521810054779
 risk of interval [70,74]: 0.8300079107284546
10_006_C_snippet
 risk of interval [0,4]: 0.6666849851608276
 risk of interval [5,9]: 0.6540874242782593
 risk of interval [10,14]: 0.12752921879291534
 risk of interval [15,19]: 0.1308685541152954
 risk of interval [20,24]: 0.5978018045425415
 risk of interval [25,29]: 0.9886730909347534
 risk of interval [30,34]: 0.8147771954536438
 risk of interval [35,39]: 0.6659656167030334
 risk of interval [40,44]: 0.7571197748184204
 risk of interval [45,49]: 0.9861196279525757
 risk of interval [50,54]: 0.8272725343704224
 risk of interval [55,59]: 0.9846155047416687
 risk of interval [60,64]: 0.9653894305229187
 risk of interval [65,69]: 0.9770334959030151
 risk of interval [70,74]: 0.9864500761032104
10_008_C_snippet
 risk of interval [0,4]: 0.408514142036438
 risk of interval [5,9]: 0.7012630701065063
 risk of interval [10,14]: 0.8077093958854675
 risk of interval [15,19]: 0.8987863063812256
 risk of interval [20,24]: 0.862811267375946
 risk of interval [25,29]: 0.7863695621490479
 risk of interval [30,34]: 0.7635920643806458
 risk of interval [35,39]: 0.8002611398696899
 risk of interval [40,44]: 0.8665934205055237
 risk of interval [45,49]: 0.8651993274688721
 risk of interval [50,54]: 0.8000468611717224
 risk of interval [55,59]: 0.778814971446991
 risk of interval [60,64]: 0.8099418878555298
 risk of interval [65,69]: 0.5455693602561951
 risk of interval [70,74]: 0.8120006918907166
